2023.06.22 11:01:49 INFO  web[][DbMigrations] #6111 'Change size of column 'kee' in 'components'': success | time=1ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6112 'Create 'project_badge_token' Table'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6112 'Create 'project_badge_token' Table': success | time=3ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6113 'Deprecate quality profile 'Sonar way Recommended' for js and ts'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6113 'Deprecate quality profile 'Sonar way Recommended' for js and ts': success | time=12ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6114 'Drop the 'sonar.lf.aboutText' property value'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6114 'Drop the 'sonar.lf.aboutText' property value': success | time=3ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6201 'Fix usage of deprecated column in MSSQL'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6201 'Fix usage of deprecated column in MSSQL': success | time=2ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6202 'Drop index 'uniq_portfolio_references''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6202 'Drop index 'uniq_portfolio_references'': success | time=2ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6203 'Add column 'branch_uuid' to 'portfolio_references''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6203 'Add column 'branch_uuid' to 'portfolio_references'': success | time=8ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6204 'Create index 'uniq_portfolio_references''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6204 'Create index 'uniq_portfolio_references'': success | time=3ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6205 'Create table 'new_code_reference_branch_issues''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6205 'Create table 'new_code_reference_branch_issues'': success | time=3ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6206 'Create index 'uniq_new_code_reference_issues''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6206 'Create index 'uniq_new_code_reference_issues'': success | time=2ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6301 'Drop unused Issues Column REPORTER'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6301 'Drop unused Issues Column REPORTER': success | time=12ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6302 'Drop unused Issues Column ACTION_PLAN_KEY'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6302 'Drop unused Issues Column ACTION_PLAN_KEY': success | time=8ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6303 'Drop unused Issues Column ISSUE_ATTRIBUTES'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6303 'Drop unused Issues Column ISSUE_ATTRIBUTES': success | time=10ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6304 'Create table 'SCANNER_ANALYSIS_CACHE'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6304 'Create table 'SCANNER_ANALYSIS_CACHE': success | time=14ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6305 'Issue warning for users using SHA1 hash method'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6305 'Issue warning for users using SHA1 hash method': success | time=4ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6306 'Drop table 'user_properties''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6306 'Drop table 'user_properties'': success | time=4ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6401 'Add column 'project_key' to 'user_tokens''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6401 'Add column 'project_key' to 'user_tokens'': success | time=11ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6402 'Add column 'type' to 'user_tokens''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6402 'Add column 'type' to 'user_tokens'': success | time=6ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6403 'Upsert value of type in 'user_tokens''...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6403 'Upsert value of type in 'user_tokens'': success | time=1ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6404 'Make column 'type' in 'user_tokens' not nullable'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6404 'Make column 'type' in 'user_tokens' not nullable': success | time=8ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6405 'Create table RULE_DESC_SECTIONS'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6405 'Create table RULE_DESC_SECTIONS': success | time=4ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6406 'Insert description from RULES into RULE_DESC_SECTIONS'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6406 'Insert description from RULES into RULE_DESC_SECTIONS': success | time=7ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6407 'Create index for RULE_DESC_SECTIONS'...
